age,p05,p10,p25,p50,p75,p90,p95
2.0,10.169138614448324,10.527384534588112,11.117606535711175,12.111512336980521,12.93459366706272,13.970137350444501,14.66262534422265
2.1,10.312242665128878,10.674421212764459,11.291813217631475,12.276810946830134,13.155591593668444,14.191386381389835,14.907423720371865
2.2,10.455175912180692,10.821546517282156,11.465113210371939,12.443392190415386,13.376208501234832,14.415798556822454,15.155614843767843
2.3,10.597983684805765,10.968805555629244,11.637595795027073,12.611298596790746,13.5965462139603,14.643380024300404,15.407213761705416
2.4,10.740711312206107,11.116243435293718,11.809350252691393,12.780572695010704,13.816706556043288,14.874136931381727,15.662235521479442
2.5,10.883404123583716,11.263905263763627,11.980465864459411,12.95125701412972,14.03679135168221,15.108075425624474,15.920695170384763
2.6,11.026107448140595,11.41183614852698,12.151031911425642,13.123394083202273,14.256902425075497,15.345201654586678,16.182607755716237
2.7,11.168866615078745,11.5600811970718,12.321137674684598,13.297026431282827,14.47714160042159,15.585521765826387,16.447988324768716
2.8,11.311726953600157,11.708685516886122,12.490872435330793,13.47219658742586,14.697610701918899,15.829041906901645,16.716851924837037
2.9,11.454733792906849,11.857694215457952,12.660325474458748,13.648947080685836,14.918411553765862,16.0757682253705,16.989213603216058
3.0,11.597932462200816,12.007152400275329,12.829586073162972,13.827320440117246,15.139645980160902,16.325706868790988,17.26508840720063
3.1,11.741368290684061,12.157105178826265,12.998743512537976,14.007359194774546,15.361415805302451,16.578863984721156,17.5444913840856
3.2,11.885086607558579,12.307597658598786,13.167887073678273,14.189105873712212,15.58382285338893,16.835245720719044,17.827437581165817
3.3,12.029132742026382,12.458674947080913,13.33710603767838,14.372603005984715,15.806968948618772,17.094858224342698,18.113942045736128
3.4,12.17355202328946,12.610382151760673,13.506489685632811,14.55789312064653,16.030955915190404,17.357707643150167,18.40401982509139
3.5,12.318389780549829,12.76276438012609,13.676127298636077,14.745018746752134,16.25588557730225,17.623800124699486,18.697685966526446
3.6,12.463691343009476,12.91586673966518,13.846108157782695,14.934022413355997,16.481859759152748,17.893141816548706,18.99495551733615
3.7,12.60950203987041,13.069734337865974,14.016521544167176,15.124946649512582,16.70898028494031,18.16573886625586,19.295843524815346
3.8,12.755867200334635,13.224412282216488,14.187456738884036,15.317833984276376,16.93734897886337,18.441597421379004,19.60036503625889
3.9,12.902832153604146,13.379945680204749,14.359003023027787,15.512726946701834,17.167067665120367,18.720723629476172,19.908535098961625
4.0,13.050442228880954,13.53637963931878,14.531249677692946,15.709668065843447,17.39823816790971,19.003123638105414,20.220368760218406
4.1,13.198742755367046,13.6937592670466,14.70428598397402,15.908699870755678,17.63096231142984,19.28879435193609,20.535881067324084
4.2,13.347779062264443,13.85212967087624,14.87820122296553,16.109864890493,17.865341919879175,19.577676163189928,20.8550870675735
4.3,13.497596478775131,14.011535958295713,15.053084675761983,16.31320565410989,18.101478817456155,19.86968811229939,21.17800180826152
4.4,13.648240334101114,14.172023236793054,15.2290256234579,16.51876469066081,18.3394748283592,20.164749199961136,21.504640336682975
4.5,13.7997559574444,14.33363661385627,15.406113347147793,16.726584529200238,18.579431776786734,20.4627784268718,21.835017700132717
4.6,13.952188678006987,14.4964211969734,15.58443712792617,16.936707698782648,18.821451486937185,20.76369479372804,22.169148945905608
4.7,14.105583824990873,14.660422093632455,15.764086246887548,17.14917672846251,19.06563578300899,21.06741730122651,22.50704912129649
4.8,14.259986727598067,14.825684411321465,15.945149985126445,17.3640341472943,19.312086489200567,21.373864950063833,22.848733273600207
4.9,14.415442715030567,14.992253257528452,16.127717623737365,17.581322484332496,19.560905429710356,21.68295674093667,23.19421645011162
5.0,14.57199711649037,15.160173739741438,16.31187844381483,17.80108426863155,19.81219442873677,21.994611674541673,23.54351369812557
5.1,14.729695261179492,15.329490965448443,16.497721726453356,18.023362029245956,20.066055310478237,22.308748751575475,23.896640064936907
5.2,14.888582478299917,15.500250042137496,16.685336752747453,18.24819829523017,20.3225898991332,22.62528697273474,24.25361059784049
