age,p05,p10,p25,p50,p75,p90,p95
2.0,10.644510105994637,10.980893339279657,11.846534525565936,12.632984384279844,13.722533561911865,14.66098204851627,15.377853291404584
2.1,10.765348572886651,11.128289773274355,11.980724745985789,12.80886400826349,13.898518375030129,14.837840596635525,15.556453772828318
2.2,10.888830006620127,11.276668785107388,12.118106625756068,12.98564202109003,14.077100250669158,15.020810845286974,15.742672921937576
2.3,11.014899276335045,11.426030374833912,12.258611374428542,13.163345302894186,14.258275927640366,15.209759175747449,15.936355250512046
2.4,11.143501251171378,11.576374542509068,12.402170201554977,13.342000733810641,14.442042144755192,15.404551969293776,16.137345270331423
2.5,11.274580800269097,11.727701288188,12.548714316687144,13.521635193974104,14.628395640825048,15.605055607202798,16.34548749317538
2.6,11.40808279276818,11.880010611925849,12.698174929376805,13.70227556351926,14.817333154661364,15.811136470751334,16.560626430823625
2.7,11.54395209780859,12.033302513777748,12.850483249175717,13.883948722580797,15.00885142507558,16.022660941216227,16.78260659505582
2.8,11.682133584530304,12.187576993798851,13.00557048563566,14.06668155129342,15.202947190879101,16.239495399874293,17.011272497651674
2.9,11.8225721220733,12.342834052044294,13.16336784830839,14.250500929791821,15.399617190883369,16.461506228002385,17.24646865039086
3.0,11.965212579577546,12.499073688569236,13.323806546745676,14.435433738210705,15.598858163899806,16.688559806877326,17.48803956505308
3.1,12.10999982618302,12.656295903428799,13.48681779049929,14.621506856684757,15.80066684873983,16.920522517775943,17.73582975341801
3.2,12.256878731029689,12.814500696678131,13.652332789120988,14.808747165348668,16.005039984214875,17.15726074197507,17.98968372726534
3.3,12.405794163257529,12.97368806837238,13.820282752162539,14.99718154433714,16.211974309136366,17.398640860751538,18.249445998374753
3.4,12.556690992006512,13.133858018566682,13.990598889175713,15.186836873784877,16.42146656231572,17.64452925538218,18.51496107852595
3.5,12.709514086416618,13.295010547316192,14.163212409712274,15.37774003382656,16.633513482564386,17.894792307143835,18.78607347949861
3.6,12.864208315627808,13.457145654676046,14.338054523323988,15.569917904596894,16.848111808693766,18.149296397313318,19.062627713072423
3.7,13.020718548780062,13.620263340701374,14.515056439562615,15.763397366230569,17.065258279515295,18.407907907167477,19.344468291027066
3.8,13.178989655013355,13.784363605447338,14.69414936797993,15.958205298862278,17.284949633840398,18.67049321798314,19.63143972514224
3.9,13.338966503467653,13.949446448969068,14.875264518127693,16.154368582626724,17.507182610480506,18.93691871103713,19.923386527197625
4.0,13.50059396328294,14.115511871321713,15.058333099557675,16.351914097658604,17.731953948247032,19.207050767606283,20.220153208972913
4.1,13.663816903599177,14.282559872560414,15.243286321821635,16.550868724092602,17.959260385951417,19.480755768967438,20.521584282247794
4.2,13.828580193556341,14.450590452740311,15.430055394471344,16.75125934206342,18.18909866240508,19.757900096397417,20.827524258801947
4.3,13.99482870229441,14.619603611916556,15.618571527058569,16.953112831705756,18.421465516419445,20.03835013117306,21.137817650415062
4.4,14.16250729895335,14.789599350144275,15.80876592913507,17.1564560731543,18.656357686805947,20.32197225457119,21.45230896886683
4.5,14.33156085267314,14.960577667478626,16.00056981025262,17.361315946543748,18.893771912376003,20.608632847868645,21.770842725936937
4.6,14.501934232593753,15.132538563974743,16.193914379962976,17.5677193320088,19.133704931941036,20.898198292342254,22.093263433405067
4.7,14.673572307855155,15.305482039687774,16.388730847817914,17.77569310968415,19.376153484312486,21.190534969268857,22.41941560305092
4.8,14.846419947597326,15.47940809467286,16.584950423369193,17.98526415970449,19.621114308301767,21.485509259925276,22.749143746654163
4.9,15.020422020960238,15.65431672898514,16.78250431616858,18.196459362204518,19.86858414272031,21.782987577055096,23.0822923759945
5.0,15.19552339708386,15.830207942679763,16.981323735767845,18.409305597318927,20.118559726379537,22.082878693837493,23.418706002851614
5.1,15.37166894510817,16.00708173581187,17.18133989171875,18.623829745182416,20.371037798090875,22.385217444752314,23.758229139005188
5.2,15.548803534173135,16.184938108436597,17.38248399357306,18.840058685929673,20.62601509666575,22.690062008339606,24.100706296234918
5.3,15.726872033418736,16.36377706060909,17.584687250882546,19.058019299695403,20.8834883609156,22.997470563139398,24.445981986320476
5.4,15.90581931198494,16.543598592384498,17.78788087319897,19.277738466614295,21.143454329651824,23.307501287691736,24.79390072104157
5.5,16.085590239011722,16.72440270381796,17.991996070074098,19.49924306682105,21.405909741685875,23.620212360536645,25.144307012177876
5.6,16.266129683639058,16.906189394964617,18.196964051059695,19.722559980450363,21.670851335829163,23.935661960214173,25.497077028107544
5.7,16.447382515006918,17.08895866587961,18.40271602570753,19.947716087636923,21.93827585089313,24.253908265264364,25.852308711400934
5.8,16.629293602255267,17.272710516618083,18.609183203569366,20.174738268515426,22.208180025689185,24.575009454227246,26.210194827898807
5.9,16.811807814524098,17.45744494723518,18.816296794196976,20.40365340322057,22.480560599028756,24.899023705642872,26.57092850095719
6.0,16.994870020953364,17.643161957786045,19.023988007142112,20.634488371887052,22.755414309723278,25.226009198051255,26.93470285393211
6.1,17.178425090683046,17.82986154832582,19.23218805195655,20.867270054649566,23.03273789658417,25.556024109992457,27.3017110101796
6.2,17.362417892853124,18.01754371890965,19.44082813819206,21.10202533164281,23.312528098422863,25.8891266200065,27.67214609305569
6.3,17.546793296603564,18.206208469592667,19.649839475400398,21.33878108300148,23.594781654050774,26.225374906633437,28.046201225916388
6.4,17.731496171074333,18.39585580043002,19.85915327313333,21.577564188860258,23.879495302279338,26.564827148413304,28.42406953211775
6.5,17.916471385405416,18.586485711476858,20.06870074094263,21.818401529353856,24.16666578191998,26.907541523886124,28.80594413501577
6.6,18.101663808736777,18.778098202788318,20.278413088380056,22.061319984616958,24.456289831784115,27.25357621159195,29.19201815796651
6.7,18.2870183102084,18.970693274419542,20.488226695078254,22.30634643478427,24.74836419068319,27.60298939007082,29.582484724325973
6.8,18.47247975896024,19.164270926425672,20.69819257960101,22.55350775999048,25.042889403418247,27.95583923786277,29.977536957450187
6.9,18.657993024132292,19.358831158861854,20.9084740746734,22.802830840370284,25.339931553358696,28.31218393350784,30.377367980695198
7.0,18.843502974864506,19.554373971783228,21.119239218086275,23.05434255605838,25.63961196466008,28.672081655546062,30.782170917417016
7.1,19.028954480296875,19.75089936524494,21.33065604763045,23.308069787189453,25.942053689027873,29.03559058251748,31.192138890971663
7.2,19.214292409569364,19.948407339302126,21.54289260109674,23.564039413898218,26.247379778167552,29.402768892962122,31.607465024715186
7.3,19.399461631821943,20.146897894009935,21.75611691627597,23.82227847940166,26.555713283784577,29.773674765420047,32.0283424420036
7.4,19.58440701619459,20.34637102942351,21.97049703095897,24.082839656021346,26.867177257584437,30.148366378431277,32.45496426619293
7.5,19.769083944932767,20.546826745597986,22.186200982936562,24.345828928121577,27.181894751272605,30.5269241152521,32.887523620639215
7.6,19.95357559656155,20.748265042588514,22.403396809999574,24.611358929530486,27.499988816554545,30.909525960734623,33.32621362869847
7.7,20.138050328887307,20.950685920450237,22.622252549938818,24.87954229407622,27.821582505135737,31.296376708670735,33.77122741372673
7.8,20.32267804722402,21.154089379238293,22.84293624054512,25.150491655586922,28.14679886872165,31.68768115360978,34.22275809908
7.9,20.507628656885675,21.358492044250976,23.06561591960931,25.424319647890734,28.475760959017766,32.08364409010117,34.68099880811435
