percentile,height
0.1, 153.97196261682242
3.0, 162.85046728971963
5.0, 164.6380697050938
10.0, 167.58713136729222
15.0, 169.1588785046729
25.0, 171.71581769436995
50.0, 176.72922252010721
75.0, 181.44772117962466
85.0, 184.11214953271028
90.0, 185.87131367292224
95.0, 188.23056300268095
97.0, 190.42056074766356
99.9, 199.06542056074767
