,age,p0.1,p03,p05,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99.9
0,5.0,95.71470657162006,101.15943138202269,101.1501317296229,102.80710097752733,105.0110348554038,105.75173924816988,108.81077036907134,111.97139408416581,114.48179334586969,114.70356277232638,116.36775611719911,118.31520825240445,123.87853923409564
1,5.1,96.23527534209028,101.72126769781426,101.72970306851735,103.40119301875562,105.6028276784385,106.37306178734634,109.45668198431783,112.65068387405542,115.16104423755982,115.40178979430289,117.07608091804912,119.0129863806108,124.6088826377538
2,5.199999999999999,96.75208730394426,102.27910263569343,102.31067011212367,103.99466938937078,106.1919369141244,106.99206349427784,110.10102546533354,113.32851812522445,115.83360868516058,116.09881404941788,117.78529882510807,119.70742171484851,125.33744694357438
3,5.299999999999999,97.2651755792695,102.83304774011395,102.89372608788516,104.58798370372318,106.77833668795128,107.60912500901986,110.7442739881191,114.00528498553993,116.49978027290389,116.79492975808837,118.49578690296133,120.39853364149737,126.06417235606173
4,5.399999999999999,97.77457329015346,103.3832145555297,103.47955753099149,105.18158957616325,107.36200112540898,108.22462697162781,111.38690072867512,114.68137260286883,117.15985258502162,117.49043114073157,119.20792221619416,121.08634154693695,126.78899907972016
5,5.499999999999998,98.28031355868359,103.92971462639444,104.06843562620853,105.77594062104141,107.94290435198722,108.83895002215705,112.02937886300214,115.35713805893047,117.81411920574565,118.18561241776449,119.92208182939197,121.77086481754716,127.51186731905403
6,5.599999999999998,98.78242950694737,104.47265949716191,104.65997969318768,106.37149045270806,108.52102049317587,109.45247480066301,112.67218156710081,116.03261693476965,118.4628737193078,118.88076780960427,120.63864280713997,122.4521228397075,128.23271727856775
7,5.6999999999999975,99.28095425703219,105.01216071228598,105.2537520230073,106.9686926855136,109.0963236744646,110.06558194720108,113.3157820169717,116.7076547851486,119.10640970993992,119.57619153666799,121.35798221402358,123.1301349997978,128.95148916276554
8,5.799999999999997,99.77592093102562,105.54832981622037,105.84931490674559,107.56797619960794,109.66878802134327,110.67865210182667,113.96065338861541,117.38209469485324,119.74502076187389,120.27217781937276,122.08037462220415,123.80492068419774,129.66812317615182
9,5.899999999999997,100.26736265101508,106.08127835341892,106.44623063548086,108.16931993431797,110.23838765930167,111.29206590459518,114.60723488577256,118.05577974866958,120.3790004593416,120.96902087813567,122.80548137363002,124.47649927928703,130.38255952323095
10,5.9999999999999964,100.75531253908801,106.61111786833541,107.04406150029148,108.77231046586519,110.80509671382954,111.90620399556201,115.25547390402748,118.72855303138354,121.00864238657488,121.66698294429024,123.53273674008356,125.14489017144531,131.0947384085072
11,6.099999999999996,101.23980371733188,107.13795990542364,107.64236979225566,109.37652121953934,111.36888931041668,112.52144701478262,115.9049475179968,119.40025762778114,121.63424012780555,122.36595121260558,124.26157462463516,125.81011274705239,131.80460003648494
12,6.199999999999996,101.72086930783416,107.66191600913739,108.2407178024518,109.98152562063014,111.92973957455288,113.13811117983693,116.55522374224365,120.07073662264833,122.25608726726557,123.06556940811954,124.99142893035503,126.47218639248791,132.5120846116685
13,6.299999999999995,102.19854243268233,108.18309772393042,108.8386678219581,110.58689709442737,112.48762163172793,113.75599848295492,117.20587059133115,120.7398331007711,122.87447738918671,123.76547712962798,125.72173356031335,127.13113049413158,133.21713233856227
14,6.399999999999995,102.67285621396378,108.7016165942566,109.43578214185287,111.19220906622076,113.0425096074316,114.37466463632366,117.85645607982255,121.40739014693534,123.48970407780087,124.46531397592689,126.45192241758045,127.78696443836317,133.91968342167056
15,6.499999999999995,103.14384377376608,109.21758416456967,110.03162305321443,111.79703496129997,113.59437762715366,114.9936638085883,118.50654822228093,122.07325084592713,124.10206091733993,125.16471954581209,127.1814294052266,128.43970761156228,134.61967806549768
16,6.599999999999994,103.61153823417662,109.73111197932342,110.62575284712109,112.40094820495479,114.14319981638394,115.61255016839394,119.1557150332695,122.7372582825324,124.7118414920357,125.86333343807955,127.909688426322,129.08937940010867,135.31705647454802
17,6.699999999999994,104.07597271728287,110.24231158297165,111.21773381465117,113.00352222247494,114.68895030061218,116.23087788438578,119.80352452735141,123.39925554153704,125.31933938612003,126.5607952515251,128.63613338393694,129.73599919038207,136.0117588533259
18,6.799999999999994,104.5371803451723,110.75128915642358,111.80712824688287,113.60433043915013,115.23160320532818,116.84820112520904,120.44954471908974,124.05908570772715,125.92484818382485,127.2567445849447,129.3601981811417,130.37958636876218,136.70372540633568
19,6.899999999999993,104.99519423993237,111.2580464294928,112.39349843489458,114.20294628027014,115.7711326560217,117.46407405950883,121.09334362304776,124.71659186588863,126.52866146938193,127.95082103713423,130.0813167210065,131.02016032162868,137.39289633808167
20,6.999999999999993,105.45004752365055,111.76249021764225,112.97640666976459,114.79894317112463,116.30751277818258,118.07805085593039,121.73448925378855,125.37161710080744,127.13107282702322,128.64266420688958,130.79892290660155,131.65774043536132,138.07921185306822
21,7.0999999999999925,105.9017733184143,112.26452388562215,113.55541524257117,115.39189453700344,116.84071769730055,118.68968568311878,122.37254962587532,126.02400449726956,127.73232520968858,129.33191369300664,131.51245064099723,132.2923460963397,138.7626121557997
22,7.199999999999992,106.35040474631106,112.76405079818271,114.1300864443926,115.98137380319619,117.37072153886541,119.29853270971923,123.00709275387119,126.67359714006098,128.33238365380666,130.01820909428136,132.2213338272637,132.92399669094362,139.4430374507804
23,7.299999999999992,106.79597492942833,113.26097432007404,114.69998256630723,116.56695439499266,117.89749842836696,119.90414610437695,123.63768665233933,127.32023811396769,128.9311183362538,130.70119000950956,132.9250063684713,133.55271160555282,140.12042794251474
