percentile,height
0.1, 138.3766233766234
3.0, 146.75324675324677
5.0, 149.32153392330383
10.0, 151.976401179941
15.0, 152.5974025974026
25.0, 155.81120943952803
50.0, 160.23598820059
75.0, 164.66076696165192
85.0, 167.01298701298703
90.0, 168.79056047197642
95.0, 171.1504424778761
97.0, 172.8571428571429
99.9, 181.23376623376626
