,mu,sigma,r2
2.0,86.46306862718522,3.5637850119564436,0.9995114923861942
2.1,87.37489529755514,3.596582558819543,0.9996757961789859
2.2,88.2696761642924,3.6274328587948554,0.9997421585389195
2.3,89.14808568330473,3.6572628405359624,0.999751658240485
2.4,90.01078292932324,3.686764145151299,0.9997331452758641
2.5,90.85841072083625,3.7164285407933737,0.999706022940038
2.6,91.69159624685297,3.7465822862098364,0.9996824719083741
2.7,92.51095279610965,3.7774183927408225,0.9996692461580183
2.8,93.31708208992713,3.8090260944196324,0.9996691315226728
2.9,94.11057679652049,3.8414171743065038,0.9996821316949451
3.0,94.89202292643822,3.8745489610625548,0.9997064288149402
3.1,95.66200192936284,3.9083439955911143,0.9997391537141902
3.2,96.42109241208514,3.9427065388204725,0.9997769926726191
3.3,97.16987145917007,3.977535996174645,0.9998166519445522
3.4,97.90891558695657,4.012737465402672,0.9998551974097005
3.5,98.6388013874672,4.048229568372722,0.9998902838714253
3.6,99.36010502857495,4.083952395908046,0.9999202948149176
3.7,100.0733869444646,4.11991500289664,0.9999444903127807
3.8,100.7791712856147,4.1562387424103795,0.9999628593885134
3.9,101.47794333034712,4.193049128051514,0.9999758052820417
4.0,102.17014584365918,4.2303724993503105,0.9999840555888433
4.1,102.85620403444484,4.268186636131924,0.9999884635184509
4.2,103.5365413888154,4.306466056405607,0.9999898056800335
4.3,104.21158066217532,4.345184445555815,0.9999887797096232
4.4,104.8817440107715,4.3843144840610195,0.9999860106200867
4.5,105.54745312760305,4.423827647241246,0.9999820555875943
4.6,106.20912938144701,4.463694014961677,0.9999774072990721
4.7,106.86719395687658,4.503882063750362,0.9999724959622845
4.8,107.5220679948496,4.544358466691483,0.9999676900584847
4.9,108.17417272352972,4.585087908033323,0.9999632958970159
5.0,108.82392963731535,4.626032794326521,0.9999595560116852
5.1,109.47176057950982,4.667153181421002,0.9999566464198382
5.2,110.11808792263086,4.708406498305471,0.9999546727464382
5.3,110.76333470392062,4.749747360255356,0.9999536651966033
5.4,111.40792461738532,4.791127837135496,0.9999535720011766
5.5,112.05226561146273,4.832516762705541,0.9999542516455886
5.6,112.6966795871793,4.873838789126133,0.9999556389904022
5.7,113.34144453018585,4.9149713109617394,0.9999577757311052
5.8,113.98683228777965,4.955788448480683,0.9999607113341312
5.9,114.63305528329413,4.996191160349396,0.999964361666915
6.0,115.28011320016371,5.036127413901442,0.9999684063402541
6.1,115.92784231085137,5.075493171017929,0.999972412864205
6.2,116.5760406093689,5.114164177568352,0.9999760504623377
6.3,117.2243867085276,5.1521544890890185,0.9999791528435872
6.4,117.87250351779889,5.189544528201898,0.999981594701935
6.5,118.5200148024745,5.226415370867213,0.9999832621743513
6.6,119.16654566111673,5.26284850609668,0.999984070509575
6.7,119.81172259523407,5.298925963999848,0.9999839767169644
6.8,120.45517352874604,5.334730391162232,0.9999829875183203
6.9,121.09652778112063,5.3703450943234,0.9999811630776655
7.0,121.73541599686726,5.40585402752477,0.9999786169104957
7.1,122.37147003474551,5.4413417524303656,0.999975512314856
7.2,123.00432281879822,5.476893362088326,0.9999720556195583
