age,p05,p10,p25,p50,p75,p90,p95
2.0,79.26908712956848,80.79416673306795,83.0492510284127,85.15559650185823,87.47585350097442,89.77982165982428,90.88205929262065
2.1,80.20210649374299,81.7720528211998,84.05285827716614,86.20777813290809,88.71340466019151,90.88374029741505,92.4099134215082
2.2,81.13068709979916,82.70675383600684,85.0115909612271,87.21154312874252,89.85618576341581,91.94064193045702,93.41695870729217
2.3,82.04832504429052,83.6010225396645,85.9283993518189,88.17031296965074,90.91409276213365,92.95396474210986,94.27065264701294
2.4,82.94851642377043,84.45761169434829,86.80623372016487,89.08750913592189,91.89702160783145,93.92714691553341,95.22608921725542
2.5,83.82475733479238,85.27927406223358,87.6480443374883,89.96655310784524,92.81486825199566,94.86362663388739,96.26383394714837
2.6,84.67054387390975,86.06876240549582,88.45678147501258,90.81086636570994,93.6775286461127,95.76684208033154,97.32330861815396
2.7,85.47937213767605,86.82882948631045,89.235395403961,91.6238703898052,94.49489874166893,96.64023143802564,98.34394076250503
2.8,86.24493538176192,87.56222806685294,89.98683639555685,92.40898666042027,95.2768744901508,97.48723289012942,99.28091502417314
2.9,86.96680917988414,88.2717109092987,90.71405472102352,93.16963665784428,96.03320772411146,98.31128461980268,100.13952251230452
3.0,87.65131463046998,88.96003077582317,91.42000065158429,93.90924186236644,96.77038933541921,99.11582481020518,100.9349916678282
3.1,88.30514364773518,89.62994042860178,92.10762445846252,94.63122375427598,97.4916788841829,99.90429164449662,101.68255093167292
3.2,88.93498814589537,90.28419262981001,92.77987641288149,95.33900381386206,98.20019773351754,100.68012330583682,102.39742874476772
3.3,89.54754003916626,90.92554014162324,93.43970678606459,96.03600352141389,98.89906724653818,101.44658625952299,103.09485354804143
3.4,90.14949124176357,91.55673572621698,94.09006584923506,96.72564435722072,99.59140878635993,102.20533342664095,103.79005378242297
3.5,90.74753366790291,92.18053214576659,94.7339038736163,97.41134780157168,100.28034371609772,102.95713364959383,104.49659635235898
3.6,91.34811805083564,92.79968216244754,95.37417113043162,98.09642320664773,100.96899339886677,103.70274671535071,105.21720255310024
3.7,91.95379091165056,93.4169385384353,96.0138178909043,98.7823648065713,101.66046031763857,104.44293241088062,105.95024211969665
3.8,92.5639346536822,94.03505403590526,96.65576573271191,99.4691957967411,102.35661294066527,105.17845052315262,106.6940730881735
3.9,93.17784057100887,94.65678051398861,97.30165784572031,100.15689701470028,103.05734643223566,105.91006083913571,107.44705349455614
4.0,93.79479995770892,95.28412057010298,97.95137581786855,100.84544929799166,103.76237892658612,106.63852314579894,108.20754137486993
4.1,94.41410410786055,95.9169697096503,98.60467277560423,101.53483348415821,104.47142855795303,107.36459723011139,108.97389476514022
4.2,95.03504431554212,96.55485575471647,99.26130184537507,102.22503041074289,105.18421346057275,108.08904287904205,109.7444717013923
4.3,95.65691187483183,97.19730652738743,99.92101615362854,102.91602091528863,105.90045176868162,108.81261987956,110.51763021965156
4.4,96.27899807980808,97.84384984974922,100.58356882681235,103.60778583533839,106.61986161651612,109.53608801863429,111.29172835594329
4.5,96.90059422454908,98.49401354388777,101.24871299137406,104.3003060084351,107.34216113831245,110.2602070832339,112.06527255914168
4.6,97.52109879942275,99.14732543188903,101.91620177376134,104.9935622721217,108.06706846830716,110.98573686032792,112.83798136585673
4.7,98.14225848755754,99.80331333583896,102.58578830042178,105.68753546394113,108.79430174073654,111.71343713688537,113.61016518313939
4.8,98.76810477823014,100.46150507782355,103.25722569780295,106.38220642143638,109.52357908983697,112.44406769987533,114.38213842518758
4.9,99.40276367670855,101.12142847992874,103.93026709235257,107.07755598215034,110.25461864984482,113.17838833626682,115.15421550619917
5.0,100.05036118826065,101.78261136424054,104.60466561051814,107.77356498362599,110.98713855499648,113.91715883302885,115.92671084037204
5.1,100.71501303446335,102.44458155284484,105.28017437874733,108.4702142634062,111.7208569395283,114.66113897713052,116.69993884190404
5.2,101.39700982305267,103.10686686782765,105.95654652348779,109.16748465903407,112.45549193767674,115.41108855554083,117.47419224222773
5.3,102.08710864092797,103.76899513127493,106.63353517118708,109.86535700805237,113.19076168367802,116.16753670926636,118.24933169634456
5.4,102.77507970711915,104.43049416527265,107.31089344829283,110.56381214800416,113.92638431176866,116.92977302502392,119.0248198452499
5.5,103.45669275137028,105.09089179190673,107.98837448125263,111.26283091643236,114.66207795618496,117.69667247724803,119.80010447406161
5.6,104.13183601306508,105.7497158332632,108.66573139651418,111.96239415087987,115.3975606649923,118.46710974555062,120.57463336789773
5.7,104.80047842013765,106.40649411142796,109.342717320525,112.66243373940604,116.13248916841806,119.23995950954361,121.34785431187618
