age,p05,p10,p25,p50,p75,p90,p95
2.0,80.33731878430127,81.94947410593429,84.14490140419157,86.35728653143167,88.99066146195052,90.99604422512336,92.12891920233648
2.1,81.31330592706198,82.85891346150014,85.01284653647811,87.2702690138769,89.8941061716253,91.9864651800986,93.22056442883547
2.2,82.25487693370336,83.74363805029282,85.86705163485756,88.1674880820736,90.78445090656865,92.95333271994657,94.27652599630679
2.3,83.1637663253192,84.60478431105395,86.70789733938538,89.04941691202225,91.66208381464763,93.89775466925462,95.29861921390501
2.4,84.04170862300329,85.44348868252528,87.53576429011702,89.91652867972357,92.52739304372928,94.82083885261008,96.28865939078466
2.5,84.89043834784943,86.26088760344848,88.35103312710783,90.76929656117808,93.38076674168063,95.72369309460029,97.2484618361002
2.6,85.71169002095145,87.05811751256519,89.15408449041324,91.6081937323864,94.2225930563687,96.60742521981258,98.17984185900617
2.7,86.5071981634031,87.8363148486171,89.94529902008861,92.43369336934909,95.05326013566048,97.47314305283426,99.0846147686571
2.8,87.27869729629822,88.59661605034592,90.7250573561894,93.24626864806679,95.87315612742304,98.32195441825272,99.96459587420743
2.9,88.02792194073058,89.34015755649331,91.49374013877099,94.04639274454007,96.68266917952339,99.15496714065523,100.82160048481177
3.0,88.75660661779398,90.0680758058009,92.25172800788879,94.83453883476953,97.48218743982856,99.97328904462915,101.65744390962458
3.1,89.46648584858225,90.78150723701043,92.9994016035982,95.61118009475578,98.27209905620559,100.77802795476178,102.47394145780036
3.2,90.15929415418915,91.48158828886356,93.73714156595463,96.37678970049939,99.05279217652148,101.57029169564052,103.27290843849363
3.3,90.83676605570851,92.16945540010197,94.46532853501344,97.13184082800093,99.82465494864329,102.35118809185265,104.05616016085892
3.4,91.5006360742341,92.84624500946731,95.18434315083009,97.87680665326103,100.58807552043798,103.1218249679855,104.82551193405072
3.5,92.15263873085972,93.51309355570127,95.89456605345997,98.61216035228034,101.34344203977268,103.88331014862644,105.58277906722358
3.6,92.79447461165724,94.17113747754559,96.59637788295849,99.33837510105934,102.09114265451436,104.63675145836278,106.32977686953201
3.7,93.42729496612127,94.82148388632307,97.29015927938102,100.0559240755987,102.83156551253005,105.38325672178185,107.06832065013046
3.8,94.05180584109239,95.46485855141019,97.97629088278299,100.76528045189897,103.56509876168674,106.12392646158438,107.80022571817346
3.9,94.66870046401381,96.10172055932874,98.65515333321979,101.46691740596077,104.2921305498515,106.85953587843304,108.52728784623972
4.0,95.27867206232864,96.73252352442917,99.32712727074687,102.16130811378471,105.01304902489136,107.59041188341494,109.25067474142216
4.1,95.88241386348018,97.3577210610619,99.99259333541956,102.84892575137135,105.72824233467335,108.31684869694725,109.97080703237502
4.2,96.4806190949116,97.9777667835773,100.65193216729332,103.5302434947213,106.43809862706445,109.03914053944703,110.68806178368368
4.3,97.07398098406608,98.59311430632582,101.30552440642354,104.20573451983515,107.14300604993174,109.75758163133139,111.40281605993341
4.4,97.66319275838687,99.20421724365784,101.95375069286563,104.87587200271352,107.84335275114223,110.47246619301747,112.11544692570962
4.5,98.24894764531714,99.81152920992382,102.596991666675,105.54112911935695,108.53952687856295,111.18408844492225,112.8263314455975
4.6,98.83193887230013,100.41550381947417,103.235627967907,106.20197904576608,109.2319165800609,111.89274260746294,113.53584668418245
4.7,99.41285966677896,101.01659468665927,103.8700402366171,106.85889495794149,109.92091000350314,112.59872290105662,114.24436970604975
4.8,99.99240325619691,101.61525542582953,104.50060911286067,107.51235003188378,110.60689529675668,113.30232354612033,114.95227757578476
4.9,100.57126286799716,102.21193965133541,105.12771523669316,108.16281744359354,111.29026060768857,114.00383876307123,115.65994735797275
5.0,101.1501317296229,102.80710097752733,105.75173924816988,108.81077036907134,111.97139408416581,114.70356277232638,116.36775611719911
5.1,101.72970306851735,103.40119301875562,106.37306178734634,109.45668198431783,112.65068387405542,115.40178979430289,117.07608091804912
5.2,102.31067011212369,103.99466938937077,106.99206349427786,110.10102546533355,113.32851812522446,116.09881404941787,117.78529882510807
5.3,102.89372608788516,104.58798370372318,107.60912500901989,110.7442739881191,114.00528498553992,116.7949297580884,118.49578690296131
5.4,103.47955753099147,105.18158957616326,108.22462697162781,111.3869007286751,114.68137260286886,117.49043114073159,119.20792221619419
5.5,104.06843562620853,105.77594062104141,108.83895002215706,112.02937886300218,115.35713805893049,118.18561241776453,119.92208182939197
5.6,104.6599796931877,106.37149045270809,109.452474800663,112.67218156710081,116.03261693476965,118.88076780960431,120.63864280714
5.7,105.2537520230073,106.96869268551362,110.06558194720111,113.3157820169717,116.7076547851486,119.576191536668,121.35798221402361
5.8,105.84931490674559,107.56797619960797,110.67865210182669,113.96065338861544,117.38209469485324,120.27217781937279,122.08037462220418
5.9,106.44623063548089,108.16931993431798,111.29206590459522,114.60723488577263,118.05577974866956,120.9690208781357,122.80548137363004
6.0,107.0440615002915,108.77231046586522,111.90620399556204,115.25547390402754,118.72855303138357,121.66698294429028,123.53273674008364
6.1,107.64236979225569,109.37652121953936,112.52144701478264,115.90494751799682,119.40025762778116,122.36595121260561,124.2615746246352
6.2,108.24071780245181,109.98152562063017,113.13811117983695,116.55522374224364,120.07073662264834,123.06556940811954,124.99142893035504
6.3,108.8386678219581,110.58689709442741,113.75599848295492,117.20587059133116,120.7398331007711,123.76547712962801,125.7217335603134
6.4,109.43578214185288,111.19220906622076,114.37466463632369,117.85645607982256,121.4073901469354,124.46531397592693,126.45192241758049
6.5,110.03162305321446,111.7970349613,114.99366380858828,118.506548222281,122.07325084592718,125.16471954581213,127.18142940522664
6.6,110.62575284712112,112.40094820495483,115.61255016839394,119.15571503326953,122.73725828253244,125.86333343807958,127.90968842632202
6.7,111.21773381465118,113.00352222247498,116.23087788438578,119.80352452735141,123.3992555415371,126.56079525152516,128.63613338393696
6.8,111.80712824688294,113.60433043915017,116.84820112520903,120.44954471908977,124.0590857077272,127.25674458494476,129.3601981811417
6.9,112.39349843489465,114.20294628027015,117.46407405950889,121.09334362304782,124.71659186588867,127.95082103713429,130.08131672100652
7.0,112.97640666976466,114.7989431711247,118.0780508559304,121.73448925378861,125.3716171008075,128.6426642068896,130.79892290660163
7.1,113.5554152425712,115.39189453700347,118.6896856831188,122.37254962587538,126.02400449726963,129.3319136930067,131.5124506409973
7.2,114.13008644439266,115.98137380319623,119.2985327097193,123.00709275387122,126.67359714006106,130.01820909428142,132.22133382726375
7.3,114.69998256630726,116.5669543949927,119.90414610437695,123.63768665233934,127.32023811396773,130.70119000950962,132.92500636847134
7.4,115.26467464830009,117.14820973768265,120.50608003573707,124.26389933584292,127.96377050377563,131.38049603748726,133.62290216769028
7.5,115.8239316895364,117.72471325655577,121.1038886724447,124.88529881894506,128.6040373942707,132.05576677701023,134.31445512799075
7.6,116.3777188509178,118.2960383769018,121.69712618314507,125.50145311620892,129.24088187023895,132.72664233786654,134.9990991524431
7.7,116.92600968275435,118.86175852401044,122.28534673648333,126.11193024219769,129.87414701646637,133.3927700286459,135.67626814411759
7.8,117.46877773535611,119.42144712317149,122.86810450110463,126.7162982114745,130.50367591773883,134.0538024794422,136.34539600608443
7.9,118.0059965590332,119.9746779347437,123.44495364565418,127.31412503860251,131.1293116588424,134.70939244510322,137.00599413749686
8.0,118.5376397040957,120.52116473607815,124.01544833877713,127.9049787381449,131.750897324563,135.35919268047684,137.6581785848252
8.1,119.06368072085361,121.06097731542435,124.57914274911865,128.4884273246648,132.3682759996866,136.0028559404109,138.30234940658997
8.2,119.58409315961708,121.59424120815011,125.13559104532385,129.0640436371863,132.9812907689992,136.6400349797532,138.93890830458884
8.3,120.09885057069619,122.1210819496234,125.68434739603802,129.6317158436819,133.58978471728676,137.27038255335168,139.56825698061942
8.4,120.60792650440096,122.64162507521203,126.22496596990621,130.19183635235228,134.19360092933522,137.89355141605404,140.19079713647918
8.5,121.11129451104154,123.15599612028392,126.75708682388066,130.74484280805493,134.7925824899306,138.50919432270814,140.8069304739658
8.6,121.60892814092794,123.66432062020694,127.2809763006734,131.29117285564723,135.3865724838588,139.1169873910106,141.41705869487677
8.7,122.10080094437028,124.166724110349,127.79717816091515,131.83126413998664,135.97541399590583,139.7170446839087,142.02158350100981
8.8,122.58688647167862,124.6633321260779,128.30623740493087,132.36555430593063,136.55895011085767,140.30986921251554,142.62090659416242
8.9,123.06715827316306,125.15427020276155,128.80869903304566,132.89448099833658,137.1370239135003,140.89597750811114,143.21542967613217
