percentile,height
0.1, 143.05194805194807
3.0, 151.03896103896105
5.0, 152.56637168141594
10.0, 154.92625368731564
15.0, 156.49350649350652
25.0, 158.76106194690266
50.0, 163.11688311688314
75.0, 167.61061946902655
85.0, 169.93506493506496
90.0, 171.4454277286136
95.0, 173.8053097345133
97.0, 175.5844155844156
99.9, 183.3766233766234
